=== Spjall WebSocket Server ===
Listening on ws://0.0.0.0:8081
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[+] New connection: ws_694fccf50e943
[*] Handshake complete: ws_694fccf50e943
[<] ws_694fccf50e943: {"type":"auth","payload":{"token":"7a9d18e0c147efe8e36621461304b3a5f7307698774a67ebf3f33ffcbbf9ba56"}}
[>] ws_694fccf50e943: {"type":"auth_ok","payload":{"user":{"id":8,"nickname":"Bjartur"},"conversations...
[>] ws_694fc0acc3ad9: {"type":"user_online","payload":{"user":{"id":8,"nickname":"Bjartur"}}}
[<] ws_694fccf50e943: {"type":"load_history","payload":{"conversation_id":1,"before":1766837493,"limit":50}}
[>] ws_694fccf50e943: {"type":"history","payload":{"conversation_id":1,"messages":[{"id":1,"conversati...
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[-] Disconnected: ws_694fccf50e943
[>] ws_694fc0acc3ad9: {"type":"user_offline","payload":{"user_id":8}}
[>] ws_694fccf50e943: {"type":"user_offline","payload":{"user_id":8}}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[+] New connection: ws_694fcf8e0fa57
[*] Handshake complete: ws_694fcf8e0fa57
[<] ws_694fcf8e0fa57: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_694fcf8e0fa57: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_694fcf8e0fa57: {"type":"load_history","payload":{"conversation_id":1,"before":1766678506,"limit":50}}
[>] ws_694fcf8e0fa57: {"type":"history","payload":{"conversation_id":1,"messages":[],"has_more":false,...
[-] Disconnected: ws_694fc0acc3ad9
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[<] ws_694fcf8e0fa57: {"type":"ping","payload":{}}
[>] ws_694fcf8e0fa57: {"type":"pong","payload":[]}
[-] Disconnected: ws_694fcf8e0fa57
[>] ws_694fcf8e0fa57: {"type":"user_offline","payload":{"user_id":1}}
[+] New connection: ws_694ff28351b16
[*] Handshake complete: ws_694ff28351b16
[<] ws_694ff28351b16: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_694ff28351b16: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_694ff28351b16: {"type":"load_history","payload":{"conversation_id":1,"before":1766678506,"limit":50}}
[>] ws_694ff28351b16: {"type":"history","payload":{"conversation_id":1,"messages":[],"has_more":false,...
[<] ws_694ff28351b16: {"type":"ping","payload":{}}
[>] ws_694ff28351b16: {"type":"pong","payload":[]}
[<] ws_694ff28351b16: {"type":"ping","payload":{}}
[>] ws_694ff28351b16: {"type":"pong","payload":[]}
[<] ws_694ff28351b16: {"type":"ping","payload":{}}
[>] ws_694ff28351b16: {"type":"pong","payload":[]}
[<] ws_694ff28351b16: {"type":"ping","payload":{}}
[>] ws_694ff28351b16: {"type":"pong","payload":[]}
[<] ws_694ff28351b16: {"type":"ping","payload":{}}
[>] ws_694ff28351b16: {"type":"pong","payload":[]}
[<] ws_694ff28351b16: {"type":"ping","payload":{}}
[>] ws_694ff28351b16: {"type":"pong","payload":[]}
[<] ws_694ff28351b16: {"type":"ping","payload":{}}
[>] ws_694ff28351b16: {"type":"pong","payload":[]}
[<] ws_694ff28351b16: {"type":"ping","payload":{}}
[>] ws_694ff28351b16: {"type":"pong","payload":[]}
[<] ws_694ff28351b16: {"type":"ping","payload":{}}
[>] ws_694ff28351b16: {"type":"pong","payload":[]}
[<] ws_694ff28351b16: {"type":"ping","payload":{}}
[>] ws_694ff28351b16: {"type":"pong","payload":[]}
[<] ws_694ff28351b16: {"type":"ping","payload":{}}
[>] ws_694ff28351b16: {"type":"pong","payload":[]}
[<] ws_694ff28351b16: {"type":"ping","payload":{}}
[>] ws_694ff28351b16: {"type":"pong","payload":[]}
[-] Disconnected: ws_694ff28351b16
[>] ws_694ff28351b16: {"type":"user_offline","payload":{"user_id":1}}
[+] New connection: ws_694ff7056d4c3
[*] Handshake complete: ws_694ff7056d4c3
[<] ws_694ff7056d4c3: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_694ff7056d4c3: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_694ff7056d4c3: {"type":"load_history","payload":{"conversation_id":1,"before":1766848262,"limit":50}}
[>] ws_694ff7056d4c3: {"type":"history","payload":{"conversation_id":1,"messages":[{"id":1,"conversati...
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"send_message","payload":{"conversation_id":1,"content":"quantum messaging?"}}
[>] ws_694ff7056d4c3: {"type":"message","payload":{"id":63,"conversation_id":1,"user_id":1,"content":"...
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"send_message","payload":{"conversation_id":1,"content":"https://philrockstroh.substack.com/p/for-me-a-jew-a-painful-truth-israel"}}
[>] ws_694ff7056d4c3: {"type":"message","payload":{"id":64,"conversation_id":1,"user_id":1,"content":"...
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"create_invite","payload":{}}
[>] ws_694ff7056d4c3: {"type":"invite_created","payload":{"code":"54YVU37Q","url":"https:\/\/chat.spja...
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"load_history","payload":{"conversation_id":7,"before":1766850643,"limit":50}}
[>] ws_694ff7056d4c3: {"type":"history","payload":{"conversation_id":7,"messages":[{"id":55,"conversat...
[<] ws_694ff7056d4c3: {"type":"load_history","payload":{"conversation_id":7,"before":1766850643,"limit":50}}
[>] ws_694ff7056d4c3: {"type":"history","payload":{"conversation_id":7,"messages":[{"id":55,"conversat...
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
